	medians.sub52
ACTR3B	3.4831233509414
ANLN	3.59633567087011
BAG1	3.5147448716778
BCL2	3.92484393323245
BIRC5	3.43987974808647
BLVRA	3.59464184498838
CCNB1	3.48616940827209
CCNE1	2.99123587397718
CDC20	3.34166616494207
CDC6	3.37774143848407
CDH3	3.44037266468341
CENPF	3.79120475877189
CEP55	3.41370491659795
CXXC5	3.76746096352746
EGFR	3.61721882802093
ERBB2	3.78563275423278
ESR1	4.107330358231
EXO1	3.35832639911883
FGFR4	2.99756585229875
FOXA1	3.85035466792078
FOXC1	3.17516150264024
GPR160	3.62126586653912
GRB7	3.45284100796643
KIF2C	3.33459843062139
KRT14	3.18130958882214
KRT17	3.28731654457703
KRT5	3.19607444255157
MAPT	3.67372881970528
MDM2	3.73409024368474
MELK	3.53366488084368
MIA	2.59631323943421
MKI67	3.71092555601265
MLPH	3.85752384362198
MMP11	3.78257709145237
MYBL2	3.54968802486695
MYC	3.63204896180871
NAT1	3.65007144145867
KNTC2	3.33530324326726
CDCA1	3.43879562621795
ORC6L	3.21924314055822
PGR	3.64809594399825
PHGDH	3.36705546461815
PTTG1	3.28161328796454
RRM2	3.5909507873673
SFRP1	3.3095750298912
SLC39A6	3.97538358287673
TMEM45B	3.21293198454154
TYMS	3.31503648294357
UBE2C	3.422332127853
UBE2T	3.41396649240553
